date,actual,predicted_train,predicted_test
2023-02-05,2561.308,2512.897339999997,
2023-02-12,1895.609,2588.572919999999,
2023-02-19,12815.929999999998,10538.25557000001,
2023-02-26,9593.34,9980.809959999995,
2023-03-05,921.2,907.141429999999,
2023-03-12,898.6949999999999,897.4136500000006,
2023-03-19,486.12,595.0143100000005,
2023-03-26,2182.23,2297.7914800000026,
2023-04-02,1778.32,1818.1066400000032,
2023-04-09,597.8,569.0524800000005,
2023-04-16,1.7,170.09752000000034,
2023-04-23,1284.515,1266.8254799999997,
2023-04-30,1078.5,1029.1026200000001,
2023-05-07,1273.2,1256.754659999999,
2023-05-14,24937.364,18782.070350000024,
2023-05-21,5177.735,4422.913709999994,
2023-05-28,747.775,697.8720200000005,
2023-06-04,1754.239,1831.2295600000011,
2023-06-11,1259.66,1359.1722700000014,
2023-06-18,626.6,625.2007599999996,
2023-06-25,1319.661,1287.007039999999,
2023-07-02,403.413,483.38240000000025,
2023-07-09,2627.789,2642.654069999996,
2023-07-16,467.54,468.8407800000005,
2023-07-23,3191.65,3032.98568,
2023-07-30,1944.55,1895.1448299999984,
2023-08-06,2035.07,,2071.6906000000004
2023-08-13,4022.159,,3493.931639999998
2023-08-20,17114.775,,12102.305830000012
2023-08-27,4957.269,,4628.788449999998
2023-09-03,3150.13,,2948.0631199999975
2023-09-10,4885.863,,3964.2545900000005
2023-09-17,9709.53,,10178.76105000001
2023-09-24,10531.81,,9270.567329999998
